item_id,movie_title,url,title,imdb_id,Director,Rating,voteCount,Stars,Budget,Gross worldwide,Runtime,Release day,Release month,Release year
16,French Twist (Gazon maudit) (1995),https://www.imdb.com/title/tt0113149/?,Cerro Torre: Schrei aus Stein,tt0113149,Josiane Balasko,6.4,5490,Victoria Abril,,1026646.0,6240,5,10,1995
256,When the Cats Away (Chacun cherche son chat) (1996),https://www.imdb.com/title/tt0115856/?,Cerro Torre: Schrei aus Stein,tt0115856,Cédric Klapisch,6.9,3673,Garance Clavel,300000.0,1474628.0,5460,14,11,1996
529,My Life as a Dog (Mitt liv som hund) (1985),https://www.imdb.com/title/tt0089606/?,Cerro Torre: Schrei aus Stein,tt0089606,Lasse Hallström,7.6,23229,Anton Glanzelius,,8349284.0,6060,15,10,1987
904,Ma vie en rose (My Life in Pink) (1997),https://www.imdb.com/title/tt0119590/?,Cerro Torre: Schrei aus Stein,tt0119590,Alain Berliner,7.5,9132,Georges Du Fresne,,2162043.0,5280,6,11,1997
958,To Live (Huozhe) (1994),https://www.imdb.com/title/tt0090180/?,Cerro Torre: Schrei aus Stein,tt0090180,William Friedkin,7.3,43233,William Petersen,8000000.0,17311746.0,6960,6,3,1986
1006,Until the End of the World (Bis ans Ende der Welt) (1991),https://www.imdb.com/title/tt0101458/?,Cerro Torre: Schrei aus Stein,tt0101458,Wim Wenders,6.8,11888,William Hurt,23000000.0,829625.0,17220,12,9,1991
1068,"Star Maker, The (Uomo delle stelle, L') (1995)",https://www.imdb.com/title/tt0114808/?,Cerro Torre: Schrei aus Stein,tt0114808,Giuseppe Tornatore,7.3,5639,Sergio Castellitto,,371674.0,6780,9,11,1995
1128,Heidi Fleiss: Hollywood Madam (1995) ,https://www.imdb.com/title/tt0113283/?,Cerro Torre: Schrei aus Stein,tt0113283,Nick Broomfield,6.6,846,,,34402.0,6360,27,12,1995
1199,Cemetery Man (Dellamorte Dellamore) (1994),https://www.imdb.com/title/tt0109592/?,Cerro Torre: Schrei aus Stein,tt0109592,Michele Soavi,7.0,24959,Rupert Everett,4000000.0,253986.0,6180,25,3,1994
1252,"Contempt (Mépris, Le) (1963)",https://www.imdb.com/title/tt0057345/?,Cerro Torre: Schrei aus Stein,tt0057345,Jean-Luc Godard,7.4,37341,Brigitte Bardot,900000.0,1174678.0,6180,22,1,1965
1412,Land Before Time III: The Time of the Great Giving (1995) (V),https://www.imdb.com/title/tt0113596/?,Cerro Torre: Schrei aus Stein,tt0113596,Roy Allen Smith,5.6,6838,Scott McAfee,,,4260,15,12,1995
1421,My Crazy Life (Mi vida loca) (1993),https://www.imdb.com/title/tt0107566/?,Cerro Torre: Schrei aus Stein,tt0107566,Allison Anders,6.5,2534,Angel Aviles,,3267313.0,5520,15,7,1994
1462,"Thieves (Voleurs, Les) (1996)",https://www.imdb.com/title/tt0118100/?,Cerro Torre: Schrei aus Stein,tt0118100,André Téchiné,6.7,2334,Catherine Deneuve,,1018682.0,7020,24,4,1997
